Common_Name,Scientific_Name
Bay woodpecker,Blythipicus pyrrhotis
Bay wren,Cantorchilus nigricapillus
Bay-backed shrike,Lanius vittatus
Bay-breasted cuckoo,Coccyzus rufigularis
Bay-breasted warbler,Setophaga castanea
Bay-capped wren-spinetail,Spartonoica maluroides
Bay-chested warbling finch,Castanozoster thoracicus
Bay-crowned brushfinch,Atlapetes seebohmi
Bay-headed tanager,Tangara gyrola
Bay-ringed tyrannulet,Phylloscartes sylviolus
Bay-vented cotinga,Doliornis sclateri
Baya weaver,P. philippinus
Baya weaver,Ploceus weynsi
Baya weaver,Ploceus philippinus
Beach kingfisher,Todiramphus saurophagus
Beach stone-curlew,Esacus magnirostris
Bearded barbet,Pogonornis dubius
Bearded bellbird,Procnias averano
Bearded guan,Penelope barbata
Bearded mountaineer,Oreonympha nobilis
Bearded reedling,Panurus biarmicus
Bearded screech owl,Megascops barbarus
Bearded scrub robin,Cercotrichas quadrivirgata
Bearded tachuri,Polystictus pectoralis
Bearded vulture,Gypaetus barbatus
Bearded wood partridge,Dendrortyx barbatus
Bearded woodpecker,Chloropicus namaquus
Beaudouin's snake eagle,Circaetus beaudouini
Beautiful firetail,Stagonopleura bella
Beautiful fruit dove,Ptilinopus pulchellus
Beautiful jay,Cyanolyca pulchra
Beautiful nuthatch,Sitta formosa
Beautiful sheartail,Calothorax pulcher
Beautiful sibia,Heterophasia pulchella
Beautiful sunbird,Cinnyris pulchellus
Beautiful treerunner,Margarornis bellulus
Beautiful woodpecker,Melanerpes pulcher
Beck's petrel,Pseudobulweria becki
Bedford's paradise flycatcher,Terpsiphone bedfordi
Bee hummingbird,Mellisuga helenae
Beesley's lark,Chersomanes beesleyi
Beijing babbler,Rhopophilus pekinensis
Belcher's gull,Larus belcheri
Belding's yellowthroat,Geothlypis beldingi
Belford's melidectes,Melidectes belfordi
Bell miner,Manorina melanophrys
Bell's sparrow,Artemisiospiza belli
Bell's vireo,Vireo bellii
Belted flycatcher,Xenotriccus callizonus
Belted kingfisher,Megaceryle alcyon
Bendire's thrasher,Toxostoma bendirei
Bengal bush lark,Mirafra assamica
Bengal florican,Houbaropsis bengalensis
Benguela long-billed lark,Certhilauda benguelensis
Benguet bush warbler,Locustella seebohmi
Bennett's woodpecker,Campethera bennettii
Berlepsch's canastero,Asthenes berlepschi
Berlepsch's tinamou,Crypturellus berlepschi
Bermuda night heron,Nyctanassa carcinocatactes
Bermuda petrel,Pterodroma cahow
Bermuda saw-whet owl,Aegolius gradyi
Bernier's teal,Anas bernieri
Bernier's vanga,Oriolia bernieri
Berthelot's pipit,Anthus berthelotii
Bertoni's antbird,Drymophila rubricollis
Bertram's weaver,Ploceus weynsi
Bertram's weaver,P. bertrandi
Bertram's weaver,Ploceus bertrandi
Beryl-spangled tanager,Tangara nigroviridis
Berylline hummingbird,Saucerottia beryllina
Besra,Accipiter virgatus
Bewick's wren,Thryomanes bewickii
Bhutan laughingthrush,Trochalopteron imbricatum
Biak black flycatcher,Myiagra atra
Biak coucal,Centropus chalybeus
Biak gerygone,Gerygone hypoxantha
Biak leaf warbler,Phylloscopus misoriensis
Biak lorikeet,Trichoglossus rosenbergii
Biak monarch,Symposiachrus brehmii
Biak paradise kingfisher,Tanysiptera riedelii
Biak scops owl,Otus beccarii
Biak scrubfowl,Megapodius geelvinkianus
Biak whistler,Pachycephala melanorhyncha
Biak white-eye,Zosterops mysorensis
Bianchi's warbler,Phylloscopus valentini
Bicknell's thrush,Catharus bicknelli
Bicol ground warbler,Robsonius sorsogonensis
Bicolored antbird,Gymnopithys bicolor
Bicolored antpitta,Grallaria rufocinerea
Bicolored antvireo,Dysithamnus occidentalis
Bicolored conebill,Conirostrum bicolor
Bicolored flowerpecker,Dicaeum bicolor
Bicolored hawk,Accipiter bicolor
Bicolored scrubwren,Aethomyias nigrorufus
Bicolored scrubwren,Crateroscelis nigrorufa
Bicolored wren,Campylorhynchus griseus
Bimaculated lark,Melanocorypha bimaculata
Biscutate swift,Streptoprocne biscutata
Bismarck black myzomela,Myzomela pammelaena
Bismarck crow,Corvus insularis
Bismarck fantail,Rhipidura dahli
Bismarck hanging parrot,Loriculus tener
Bismarck kingfisher,Ceyx websteri
Bismarck pitta,Erythropitta gazellae
Bismarck pitta,Erythropitta splendida
Bismarck pitta,Erythropitta novaehibernicae
Bismarck whistler,Pachycephala citreogaster
Bismarck white-eye,Zosterops hypoxanthus
Black antbird,Cercomacroides serva
Black antshrike,Thamnophilus nigriceps
Black baza,Aviceda leuphotes
Black bee-eater,Merops gularis
Black berrypecker,Melanocharis nigra
Black bishop,E. gierowii
Black bishop,Euplectes gierowii
Black bishop,Ploceus weynsi
Black bittern,Ixobrychus flavicollis
Black boubou,Laniarius nigerrimus
Black bulbul,Hypsipetes leucocephalus
Black bushbird,Neoctantes niger
Black butcherbird,Melloria quoyi
Black caracara,Daptrius ater
Black catbird,Melanoptila glabrirostris
Black cicadabird,Edolisoma melas
Black coucal,Centropus grillii
Black crake,Zapornia flavirostra
Black crowned crane,Balearica pavonina
Black cuckoo,Cuculus clamosus
Black cuckoo-dove,Turacoena modesta
Black cuckooshrike,Campephaga flava
Black curassow,Crax alector
Black currawong,Strepera fuliginosa
Black drongo,Dicrurus macrocercus
Black eagle,Ictinaetus malaiensis
Black falcon,Falco subniger
Black fantail,Rhipidura atra
Black flowerpiercer,Diglossa humeralis
Black francolin,Francolinus francolinus
Black grasswren,Amytornis housei
Black grouse,Lyrurus tetrix
Black guan,Chamaepetes unicolor
Black guillemot,Cepphus grylle
Black guineafowl,Agelastes niger
Black harrier,Circus maurus
Black hawk-eagle,Spizaetus tyrannus
Black heron,Egretta ardesiaca
Black honey buzzard,Henicopernis infuscatus
Black honeyeater,Sugomel nigrum
Black hornbill,Anthracoceros malayanus
Black imperial pigeon,Ducula melanochroa
Black inca,Coeligena prunellei
Black jacobin,Florisuga fusca
Black kite,Milvus migrans
Black lark,Melanocorypha yeltoniensis
Black laughingthrush,Melanocichla lugubris
Black lory,Chalcopsitta atra
Black manakin,Xenopipo atronitens
Black mannikin,Lonchura stygia
Black metaltail,Metallura phoebe
Black monarch,Symposiachrus axillaris
Black noddy,Anous minutus
Black nunbird,Monasa atra
Black oriole,Oriolus hosii
Black oropendola,Psarocolius guatimozinus
Black oystercatcher,Haematopus bachmani
Black paradise flycatcher,Terpsiphone atrocaudata
Black partridge,Melanoperdix niger
Black petrel,Procellaria parkinsoni
Black phoebe,Sayornis nigricans
Black pitohui,Melanorectes nigrescens
Black rail,Laterallus jamaicensis
Black redstart,Phoenicurus ochruros
Black robin,karure
Black robin,Petroica traversi
Black rosy finch,Leucosticte atrata
Black saw-wing,Psalidoprocne pristoptera
Black scimitarbill,Rhinopomastus aterrimus
Black scoter,Melanitta americana
Black scrub robin,Cercotrichas podobe
Black shama,Copsychus cebuensis
Black sicklebill,Epimachus fastosus
Black siskin,Spinus atratus
Black sittella,Daphoenositta miranda
Black skimmer,Rynchops niger
Black solitaire,Entomodestes coracinus
Black sparrowhawk,Accipiter melanoleucus
Black spinetail,Telacanthura melanopygia
Black stilt,Himantopus novaezelandiae
Black stork,Ciconia nigra
Black storm petrel,Hydrobates melania
Black sunbird,Leptocoma aspasia
Black swan,Cygnus atratus
Black tern,Chlidonias niger
Black thicket fantail,Rhipidura maculipectus
Black thrush,Turdus infuscatus
Black tinamou,Tinamus osgoodi
Black turnstone,Arenaria melanocephala
Black vulture,Coragyps atratus
Black wheatear,Oenanthe leucura
Black wood pigeon,Columba janthina
Black woodpecker,Dryocopus martius
Black-and-buff woodpecker,Meiglyptes jugularis
Black-and-chestnut eagle,Spizaetus isidori
Black-and-chestnut warbling finch,Poospiza whitii
Black-and-cinnamon fantail,Rhipidura nigrocinnamomea
Black-and-crimson oriole,Oriolus consanguineus
Black-and-gold cotinga,Lipaugus ater
Black-and-gold tanager,Bangsia melanochlamys
Black-and-orange flycatcher,Ficedula nigrorufa
Black-and-red broadbill,Cymbirhynchus macrorhynchos
Black-and-rufous swallow,Hirundo nigrorufa
Black-and-rufous warbling finch,Poospiza nigrorufa
Black-and-tawny seedeater,Sporophila nigrorufa
Black-and-white antbird,Myrmochanes hemileucus
Black-and-white becard,Pachyramphus albogriseus
Black-and-white bulbul,Microtarsus melanoleucos
Black-and-white hawk-eagle,Spizaetus melanoleucus
Black-and-white mannikin,Spermestes bicolor
Black-and-white monjita,Heteroxolmis dominicana
Black-and-white owl,Strix nigrolineata
Black-and-white seedeater,Sporophila luctuosa
Black-and-white shrike-flycatcher,Bias musicus
Black-and-white tanager,Conothraupis speculigera
Black-and-white tody-flycatcher,Poecilotriccus capitalis
Black-and-white triller,Lalage melanoleuca
Black-and-white warbler,Mniotilta varia
Black-and-white-casqued hornbill,Bycanistes subcylindricus
Black-and-yellow broadbill,Eurylaimus ochromalus
Black-and-yellow grosbeak,Mycerobas icterioides
Black-and-yellow phainoptila,Phainoptila melanoxantha
Black-and-yellow tanager,Chrysothlypis chrysomelas
Black-backed antshrike,Thamnophilus melanonotus
Black-backed barbet,Pogonornis minor
Black-backed bittern,Ixobrychus dubius
Black-backed bush tanager,Urothraupis stolzmanni
Black-backed butcherbird,Cracticus mentalis
Black-backed cisticola,Cisticola eximius
Black-backed dwarf kingfisher,Ceyx erithaca
Black-backed forktail,Enicurus immaculatus
Black-backed grosbeak,Pheucticus aureoventris
Black-backed oriole,Icterus abeillei
Black-backed puffback,Dryoscopus cubla
Black-backed swamphen,Porphyrio indicus
Black-backed tanager,Stilpnia peruviana
Black-backed thornbill,Ramphomicron dorsale
Black-backed thrush,Zoothera talaseae
Black-backed tody-flycatcher,Poecilotriccus pulchellus
Black-backed water tyrant,Fluvicola albiventer
Black-backed woodpecker,Picoides arcticus
Black-banded barbet,Psilopogon javensis
Black-banded crake,Anurolimnas fasciatus
Black-banded crake,Laterallus fasciatus
Black-banded flycatcher,Ficedula timorensis
Black-banded fruit dove,Ptilinopus alligator
Black-banded owl,Strix huhula
Black-banded woodcreeper,Dendrocolaptes picumnus
Black-bellied antwren,Formicivora melanogaster
Black-bellied bustard,Lissotis melanogaster
Black-bellied cuckoo,Piaya melanogaster
Black-bellied cuckooshrike,Edolisoma montanum
Black-bellied firefinch,Lagonosticta rara
Black-bellied gnateater,Conopophaga melanogaster
Black-bellied hummingbird,Eupherusa nigriventris
Black-bellied malkoha,Phaenicophaeus diardi
Black-bellied myzomela,Myzomela erythromelas
Black-bellied sandgrouse,Pterocles orientalis
Black-bellied seedcracker,Pyrenestes ostrinus
Black-bellied seedeater,Sporophila melanogaster
Black-bellied starling,Notopholia corusca
Black-bellied storm petrel,Fregetta tropica
Black-bellied sunbird,Cinnyris nectarinioides
Black-bellied tern,Sterna acuticauda
Black-bellied thorntail,Discosura langsdorffi
Black-bellied whistling duck,Dendrocygna autumnalis
Black-bellied wren,Pheugopedius fasciatoventris
Black-belted flowerpecker,Dicaeum haematostictum
Black-bibbed cicadabird,Edolisoma mindanense
Black-bibbed monarch,Symposiachrus mundus
Black-bibbed tit,Poecile hypermelaenus
Black-billed amazon,Amazona agilis
Black-billed barbet,Lybius guifsobalito
Black-billed brushturkey,Talegalla fuscirostris
Black-billed capercaillie,Tetrao urogalloides
Black-billed coucal,Centropus bernsteini
Black-billed cuckoo,Coccyzus erythropthalmus
Black-billed flycatcher,Aphanotriccus audax
Black-billed gull,Chroicocephalus bulleri
Black-billed koel,Eudynamys melanorhynchus
Black-billed magpie,Pica hudsonia
Black-billed mountain toucan,Andigena nigrirostris
Black-billed nightingale-thrush,Catharus gracilirostris
Black-billed peppershrike,Cyclarhis nigrirostris
Black-billed scythebill,Campylorhamphus falcularius
Black-billed seed finch,Sporophila atrirostris
Black-billed shrike-tyrant,Agriornis montanus
Black-billed sicklebill,Drepanornis albertisi
Black-billed streamertail,Trochilus scitulus
Black-billed thrush,Turdus ignobilis
Black-billed treehunter,Thripadectes melanorhynchus
Black-billed turaco,Tauraco schuettii
Black-billed weaver,Ploceus melanogaster
Black-billed weaver,Ploceus weynsi
Black-billed weaver,P. melanogaster
Black-billed wood dove,Turtur abyssinicus
Black-billed wood hoopoe,Phoeniculus somaliensis
Black-bodied woodpecker,Dryocopus schulzii
Black-breasted barbet,Pogonornis rolleti
Black-breasted boatbill,Machaerirhynchus nigripectus
Black-breasted buttonquail,Turnix melanogaster
Black-breasted buzzard,Hamirostra melanosternon
Black-breasted hillstar,Oreotrochilus melanogaster
Black-breasted mannikin,Lonchura teerinki
Black-breasted myzomela,Myzomela vulnerata
Black-breasted parrotbill,Paradoxornis flavirostris
Black-breasted puffbird,Notharchus pectoralis
Black-breasted puffleg,Eriocnemis nigrivestis
Black-breasted thrush,Turdus dissimilis
Black-breasted weaver,Ploceus weynsi
Black-breasted weaver,Ploceus benghalensis
Black-breasted weaver,P. benghalensis
Black-breasted wood quail,Odontophorus leucolaemus
Black-browed albatross,Thalassarche melanophris
Black-browed babbler,Malacocincla perspicillata
Black-browed barbet,Psilopogon oorti
Black-browed bushtit,Aegithalos bonvaloti
Black-browed fulvetta,Alcippe grotei
Black-browed greenbul,Arizelocichla fusciceps
Black-browed reed warbler,Acrocephalus bistrigiceps
Black-browed triller,Lalage atrovirens
Black-capped antwren,Herpsilochmus atricapillus
Black-capped apalis,Apalis nigriceps
Black-capped becard,Pachyramphus marginatus
Black-capped bulbul,Rubigula melanictera
Black-capped catbird,Ailuroedus melanocephalus
Black-capped chickadee,Poecile atricapillus
Black-capped donacobius,Donacobius atricapilla
Black-capped flycatcher,Empidonax atriceps
Black-capped foliage-gleaner,Philydor atricapillus
Black-capped gnatcatcher,Polioptila nigriceps
Black-capped hemispingus,Kleinothraupis atropileus
Black-capped kingfisher,Halcyon pileata
Black-capped lory,Lorius lory
Black-capped paradise kingfisher,Tanysiptera nigriceps
Black-capped parakeet,Pyrrhura rupicola
Black-capped petrel,Pterodroma hasitata
Black-capped piprites,Piprites pileata
Black-capped pygmy tyrant,Myiornis atricapillus
Black-capped screech owl,Megascops atricapilla
Black-capped siskin,Spinus atriceps
Black-capped social weaver,P. cabanisi
Black-capped social weaver,Pseudonigrita cabanisi
Black-capped social weaver,Ploceus weynsi
Black-capped sparrow,Arremon abeillei
Black-capped speirops,Zosterops lugubris
Black-capped swallow,Atticora pileata
Black-capped tanager,Stilpnia heinei
Black-capped tinamou,Crypturellus atrocapillus
Black-capped tyrannulet,Phyllomyias nigrocapillus
Black-capped vireo,Vireo atricapilla
Black-capped warbling finch,Microspingus melanoleucus
Black-capped white-eye,Zosterops atricapilla
Black-capped woodland warbler,Phylloscopus herberti
Black-casqued hornbill,Ceratogymna atrata
Black-cheeked ant tanager,Habia atrimaxillaris
Black-cheeked gnateater,Conopophaga melanops
Black-cheeked lovebird,Agapornis nigrigenis
Black-cheeked warbler,Basileuterus melanogenys
Black-cheeked waxbill,Brunhilda charmosyna
Black-cheeked woodpecker,Melanerpes pucherani
Black-chested buzzard-eagle,Geranoaetus melanoleucus
Black-chested fruiteater,Pipreola lubomirskii
Black-chested jay,Cyanocorax affinis
Black-chested mountain tanager,Cnemathraupis eximia
Black-chested prinia,Prinia flavicans
Black-chested snake eagle,Circaetus pectoralis
Black-chested sparrow,Peucaea humeralis
Black-chested tyrant,Taeniotriccus andrei
Black-chinned antbird,Hypocnemoides melanopogon
Black-chinned babbler,Cyanoderma pyrrhops
Black-chinned fruit dove,Ptilinopus leclancheri
Black-chinned honeyeater,Melithreptus gularis
Black-chinned hummingbird,Archilochus alexandri
Black-chinned mountain tanager,Anisognathus notabilis
Black-chinned robin,Poecilodryas brachyura
Black-chinned siskin,Spinus barbatus
Black-chinned sparrow,Spizella atrogularis
Black-chinned weaver,Ploceus nigrimentus
Black-chinned weaver,P. nigrimentus
Black-chinned weaver,Ploceus weynsi
Black-chinned whistler,Pachycephala mentalis
Black-chinned yuhina,Yuhina nigrimenta
Black-collared apalis,Oreolais pulcher
Black-collared barbet,Lybius torquatus
Black-collared bulbul,Neolestes torquatus
Black-collared hawk,Busarellus nigricollis
Black-collared jay,Cyanolyca armillata
Black-collared lovebird,Agapornis swindernianus
Black-collared starling,Gracupica nigricollis
Black-collared swallow,Pygochelidon melanoleuca
Black-cowled oriole,Icterus prosthemelas
Black-cowled saltator,Saltator nigriceps
Black-crested antshrike,Sakesphorus canadensis
Black-crested bulbul,Rubigula flaviventris
Black-crested coquette,Lophornis helenae
Black-crested finch,Lophospingus pusillus
Black-crested tit-tyrant,Anairetes nigrocristatus
Black-crested titmouse,Baeolophus atricristatus
Black-crested warbler,Myiothlypis nigrocristata
Black-crowned antpitta,Pittasoma michleri
Black-crowned antshrike,Thamnophilus atrinucha
Black-crowned barwing,Actinodura sodangorum
Black-crowned fulvetta,Schoeniparus klossi
Black-crowned monjita,Neoxolmis coronatus
Black-crowned night heron,Nycticorax nycticorax
Black-crowned palm-tanager,Phaenicophilus palmarum
Black-crowned pitta,Erythropitta ussheri
Black-crowned scimitar babbler,Pomatorhinus ferruginosus
Black-crowned sparrow-lark,Eremopterix nigriceps
Black-crowned tchagra,Tchagra senegalus
Black-crowned tityra,Tityra inquisitor
Black-crowned waxbill,Estrilda nonnula
Black-crowned white-eye,Zosterops atrifrons
Black-dotted piculet,Picumnus squamulatus nigropunctatus
Black-eared barbet,Psilopogon duvaucelii
Black-eared catbird,Ailuroedus melanotis
Black-eared cuckoo,Chrysococcyx osculans
Black-eared fairy,Heliothryx auritus
Black-eared ground thrush,Geokichla camaronensis
Black-eared hemispingus,Sphenopsis melanotis
Black-eared miner,Manorina melanotis
Black-eared oriole,Oriolus bouroensis
Black-eared seedeater,Crithagra mennelli
Black-eared shrike-babbler,Pteruthius melanotis
Black-eared sparrow-lark,Eremopterix australis
Black-eared warbler,Basileuterus melanotis
Black-eared wood quail,Odontophorus melanotis
Black-faced antbird,Myrmoborus myotherinus
Black-faced antthrush,Formicarius analis
Black-faced babbler,Turdoides melanops
Black-faced bunting,Emberiza spodocephala
Black-faced canary,Crithagra capistrata
Black-faced cormorant,Phalacrocorax fuscescens
Black-faced cotinga,Conioptilon mcilhennyi
